,created_at,_id,author.location,geo.place.country,in_reply_to_user.location,Unnamed: 5,Unnamed: 6,country,latitude,longitude
0,2023-02-24T08:02:29.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
1,2023-02-24T08:02:28.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
2,2023-02-24T08:02:25.000Z,1.62903e+18,"Hatay, Türkiye",undefined,undefined,,,Turkey,38.9597594,34.9249653
3,2023-02-24T08:02:24.000Z,1.62903e+18,Endülüs,undefined,undefined,,,Endülüs,41.0214447,29.108930301325096
4,2023-02-24T08:02:24.000Z,1.62903e+18,İnternet,undefined,undefined,,,İnternet,5.56576695,-73.1852365
5,2023-02-24T08:02:24.000Z,1.62903e+18,Türkiye,undefined,undefined,,,Turkey,38.9597594,34.9249653
6,2023-02-24T08:02:23.000Z,1.62903e+18,Tanzania,undefined,undefined,,,Tanzania,-6.5247123,35.7878438
7,2023-02-24T08:02:23.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
8,2023-02-24T08:02:22.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
9,2023-02-24T08:02:22.000Z,1.62903e+18,İnternet,undefined,undefined,,,İnternet,5.56576695,-73.1852365
10,2023-02-24T08:02:21.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
11,2023-02-24T08:02:21.000Z,1.62903e+18,JOHO_JB,undefined,undefined,,,NA,-23.2335499,17.3231107
12,2023-02-24T08:02:19.000Z,1.62903e+18,"Hong Kong | Bay Area, USA",undefined,undefined,,,Hong,28.687547,115.8540042
13,2023-02-24T08:02:19.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
14,2023-02-24T08:02:18.000Z,1.62903e+18,World,undefined,🇵🇹🇲🇫🇪🇺🇺🇦France ,,,NA,-23.2335499,17.3231107
15,2023-02-24T08:02:18.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
16,2023-02-24T08:02:17.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
17,2023-02-24T08:02:15.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
18,2023-02-24T08:02:14.000Z,1.62903e+18,İnternet,undefined,undefined,,,İnternet,5.56576695,-73.1852365
19,2023-02-24T08:02:13.000Z,1.62903e+18,Qatar,undefined,undefined,,,Qatar,25.3336984,51.2295295
20,2023-02-24T08:02:13.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
21,2023-02-24T08:02:12.000Z,1.62903e+18,undefined,undefined,Türkiye,,,NA,-23.2335499,17.3231107
22,2023-02-24T08:02:11.000Z,1.62903e+18,izmir,undefined,undefined,,,NA,-23.2335499,17.3231107
23,2023-02-24T08:02:09.000Z,1.62903e+18,Turkey,undefined,undefined,,,Turkey,38.9597594,34.9249653
24,2023-02-24T08:02:06.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
25,2023-02-24T08:02:06.000Z,1.62903e+18,İnternet,undefined,undefined,,,İnternet,5.56576695,-73.1852365
26,2023-02-24T08:02:05.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
27,2023-02-24T08:02:01.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
28,2023-02-24T08:02:01.000Z,1.62903e+18,near you,undefined,undefined,,,NA,-23.2335499,17.3231107
29,2023-02-24T08:01:58.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
30,2023-02-24T08:01:58.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
31,2023-02-24T08:01:54.000Z,1.62903e+18,Pınarbaşı Kayseri,undefined,undefined,,,NA,-23.2335499,17.3231107
32,2023-02-24T08:01:53.000Z,1.62903e+18,Russia,undefined,undefined,,,Russia,64.6863136,97.7453061
33,2023-02-24T08:01:53.000Z,1.62903e+18,Türkiye,undefined,undefined,,,Turkey,38.9597594,34.9249653
34,2023-02-24T08:01:50.000Z,1.62903e+18,Batman ,undefined,undefined,,,Turkey,38.9597594,34.9249653
35,2023-02-24T08:01:50.000Z,1.62903e+18,Anıttepe,undefined,undefined,,,Turkey,38.9597594,34.9249653
36,2023-02-24T08:01:49.000Z,1.62903e+18,"Lagos, Nigeria",undefined,undefined,,,Nigeria,9.6000359,7.9999721
37,2023-02-24T08:01:48.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
38,2023-02-24T08:01:47.000Z,1.62903e+18,"Lagos, Nigeria",undefined,undefined,,,Nigeria,9.6000359,7.9999721
39,2023-02-24T08:01:45.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
40,2023-02-24T08:01:37.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
41,2023-02-24T08:01:34.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
42,2023-02-24T08:01:33.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
43,2023-02-24T08:01:31.000Z,1.62903e+18,"Abuja, Nigeria",undefined,undefined,,,Nigeria,9.6000359,7.9999721
44,2023-02-24T08:01:30.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
45,2023-02-24T08:01:30.000Z,1.62903e+18,Türkiye,undefined,undefined,,,Turkey,38.9597594,34.9249653
46,2023-02-24T08:01:26.000Z,1.62903e+18,İstanbul,undefined,undefined,,,İstanbul,41.0091982,28.9662187
47,2023-02-24T08:01:25.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
48,2023-02-24T08:01:23.000Z,1.62903e+18,Samsun /trabzon,undefined,undefined,,,Turkey,38.9597594,34.9249653
49,2023-02-24T08:01:23.000Z,1.62903e+18,در کنج خلوتگاهی,undefined,undefined,,,NA,-23.2335499,17.3231107
50,2023-02-24T08:01:21.000Z,1.62903e+18,undefined,undefined,undefined,,,NA,-23.2335499,17.3231107
51,2023-02-24T08:01:21.000Z,1.62903e+18,İnternet,undefined,undefined,,,İnternet,5.56576695,-73.1852365
